SA2_CODE_2021,SA2_NAME_2021
206011106,Brunswick East
206011107,Brunswick West
206011109,Pascoe Vale South
206011495,Brunswick - North
206011496,Brunswick - South
206011497,Coburg - East
206011498,Coburg - West
206021110,Alphington - Fairfield
206021112,Thornbury
206021499,Northcote - East
206021500,Northcote - West
206031113,Ascot Vale
206031115,Flemington
206031116,Moonee Ponds
206031501,Essendon (West) - Aberfeldie
206031502,Essendon - East
206041117,Carlton
206041118,Docklands
206041119,East Melbourne
206041120,Flemington Racecourse
206041121,Kensington (Vic.)
206041124,Parkville
206041125,South Yarra - West
206041127,West Melbourne - Industrial
206041503,Melbourne CBD - East
206041504,Melbourne CBD - North
206041505,Melbourne CBD - West
206041506,North Melbourne
206041507,Royal Botanic Gardens Victoria
206041508,Southbank (West) - South Wharf
206041509,Southbank - East
206041510,West Melbourne - Residential
206051128,Albert Park
206051129,Elwood
206051130,Port Melbourne
206051134,St Kilda East
206051511,Port Melbourne Industrial
206051512,South Melbourne
206051513,St Kilda - Central
206051514,St Kilda - West
206061135,Armadale
206061136,Prahran - Windsor
206061138,Toorak
206061515,South Yarra - North
206061516,South Yarra - South
206071139,Abbotsford
206071140,Carlton North - Princes Hill
206071141,Collingwood
206071142,Fitzroy
206071143,Fitzroy North
206071145,Clifton Hill - Alphington
206071517,Richmond (South) - Cremorne
206071518,Richmond - North
207011146,Ashburton (Vic.)
207011147,Balwyn
207011148,Balwyn North
207011149,Camberwell
207011150,Glen Iris - East
207011152,Hawthorn East
207011154,Kew East
207011155,Surrey Hills (West) - Canterbury
207011519,Hawthorn - North
207011520,Hawthorn - South
207011521,Kew - South
207011522,Kew - West
207021156,Bulleen
207021157,Doncaster
207021159,Templestowe
207021160,Templestowe Lower
207021424,Doncaster East - North
207021425,Doncaster East - South
207031161,Blackburn
207031162,Blackburn South
207031163,Box Hill
207031164,Box Hill North
207031165,Burwood (Vic.)
207031166,Burwood East
207031167,Surrey Hills (East) - Mont Albert
208011168,Beaumaris
208011169,Brighton (Vic.)
208011170,Brighton East
208011171,Highett (West) - Cheltenham
208011172,Hampton
208011173,Sandringham - Black Rock
208021174,Bentleigh - McKinnon
208021176,Carnegie
208021177,Caulfield - North
208021178,Caulfield - South
208021179,Elsternwick
208021180,Hughesdale
208021181,Murrumbeena
208021182,Ormond - Glen Huntly
208021426,Bentleigh East - North
208021427,Bentleigh East - South
208031183,Aspendale Gardens - Waterways
208031184,Braeside
208031185,Carrum - Patterson Lakes
208031186,Chelsea - Bonbeach
208031187,Chelsea Heights
208031188,Highett (East) - Cheltenham 
208031189,Edithvale - Aspendale
208031190,Mentone
208031191,Moorabbin - Heatherton
208031192,Moorabbin Airport
208031193,Mordialloc - Parkdale
208041194,Malvern - Glen Iris
208041195,Malvern East
