datetime_AEST,datetime_local,location_id,location_name,BPM2.5,BSP,CO,DBT,NO2,O3,PM10,Sigma05,SO2,SWD,SWS,VWD,VWS
2020-12-31 23:00:00,2021-01-01 00:00:00,10001,Alphington,10.668,43.411,0.335,17.062,7.801,4.133,22.637,34.819,0.888,174.567,0.32,181.504,0.119
2021-01-01 00:00:00,2021-01-01 01:00:00,10001,Alphington,11.443,,,16.609,,,27.671,46.486,,138.245,0.334,130.564,0.205
2021-01-01 01:00:00,2021-01-01 02:00:00,10001,Alphington,11.204,64.82,0.375,16.252,11.108,0.644,26.112,33.627,0.823,182.605,0.255,214.196,0.033
2021-01-01 02:00:00,2021-01-01 03:00:00,10001,Alphington,11.234,63.296,0.406,15.674,9.325,0.42,23.801,38.541,0.898,257.399,0.202,316.645,0.134
2021-01-01 03:00:00,2021-01-01 04:00:00,10001,Alphington,11.29,61.756,0.412,15.337,7.72,0.351,24.146,40.282,0.776,152.164,0.311,145.541,0.119
2021-01-01 04:00:00,2021-01-01 05:00:00,10001,Alphington,11.795,70.766,0.423,15.302,7.385,0.428,25.73,43.85,0.797,185.558,0.235,56.201,0.032
2021-01-01 05:00:00,2021-01-01 06:00:00,10001,Alphington,13.736,74.982,0.445,15.246,6.423,0.581,26.691,47.822,0.722,226.631,0.251,287.52,0.13
2021-01-01 06:00:00,2021-01-01 07:00:00,10001,Alphington,14.462,57.216,0.323,17.023,7.977,3.273,27.21,31.053,0.67,242.18,0.649,242.536,0.534
2021-01-01 07:00:00,2021-01-01 08:00:00,10001,Alphington,10.832,41.807,0.214,18.78,6.99,7.363,20.852,46.353,0.632,167.875,0.535,207.569,0.19
2021-01-01 08:00:00,2021-01-01 09:00:00,10001,Alphington,9.482,29.618,0.172,20.588,5.063,9.931,16.244,48.644,0.653,117.543,0.685,47.89,0.445
2021-01-01 09:00:00,2021-01-01 10:00:00,10001,Alphington,4.1,23.859,0.156,23.282,3.422,14.891,17.128,52.068,0.666,126.747,0.952,109.91,0.632
2021-01-01 10:00:00,2021-01-01 11:00:00,10001,Alphington,-2.571,21.963,0.145,27.121,3.297,23.593,11.793,42.257,0.67,85.876,1.473,36.135,1.204
2021-01-01 11:00:00,2021-01-01 12:00:00,10001,Alphington,-5.297,13.616,0.115,29.083,2.154,23.984,2.229,39.505,0.585,111.044,1.845,22.557,1.499
2021-01-01 12:00:00,2021-01-01 13:00:00,10001,Alphington,-3.271,10.325,0.088,30.315,1.71,25.371,10.787,32.128,0.564,70.944,2.13,43.354,1.777
2021-01-01 13:00:00,2021-01-01 14:00:00,10001,Alphington,-0.42,15.657,0.115,29.825,1.278,23.871,12.14,33.684,0.677,87.961,1.917,86.111,1.669
2021-01-01 14:00:00,2021-01-01 15:00:00,10001,Alphington,1.432,13.902,0.102,30.634,1.574,28.263,1.01,34.692,0.684,86.591,1.659,82.475,1.357
2021-01-01 15:00:00,2021-01-01 16:00:00,10001,Alphington,9.304,10.368,0.083,30.555,2.575,30.742,0.471,43.747,0.791,89.366,1.237,71.024,0.881
2021-01-01 16:00:00,2021-01-01 17:00:00,10001,Alphington,14.079,10.091,0.075,29.567,2.046,30.937,1.464,42.45,0.79,97.884,1.032,67.84,0.725
2021-01-01 17:00:00,2021-01-01 18:00:00,10001,Alphington,14.29,10.684,0.075,28.908,2.33,29.75,7.772,28.736,0.892,64.796,1.93,36.091,1.669
2021-01-01 18:00:00,2021-01-01 19:00:00,10001,Alphington,12.407,12.554,0.067,27.769,2.679,29.152,6.582,22.939,0.927,50.054,2.356,32.051,2.206
2021-01-01 19:00:00,2021-01-01 20:00:00,10001,Alphington,11.999,14.978,0.077,26.424,2.982,24.706,9.911,21.021,0.877,53.772,1.229,28.402,1.156
2021-01-01 20:00:00,2021-01-01 21:00:00,10001,Alphington,11.977,14.552,0.104,24.337,5.321,18.572,16.628,51.971,0.945,132.801,0.26,68.217,0.122
2021-01-01 21:00:00,2021-01-01 22:00:00,10001,Alphington,6.212,16.409,0.164,23.177,8.878,10.612,20.843,43.37,0.919,131.654,0.387,118.634,0.273
2021-01-01 22:00:00,2021-01-01 23:00:00,10001,Alphington,0.367,16.909,0.182,21.988,8.145,6.233,18.387,56.778,0.839,182.289,0.246,65.887,0.028
2021-01-01 23:00:00,2021-01-02 00:00:00,10001,Alphington,-2.088,16.86,0.14,20.614,4.258,7.966,13.628,43.256,0.665,152.792,0.363,65.053,0.055
2021-01-02 00:00:00,2021-01-02 01:00:00,10001,Alphington,-0.037,,,20.064,,,10.452,37.337,,80.081,0.554,61.026,0.452
2021-01-02 01:00:00,2021-01-02 02:00:00,10001,Alphington,3.854,13.541,0.079,19.643,1.224,11.464,10.079,40.5,0.694,79.591,0.797,48.685,0.653
2021-01-02 02:00:00,2021-01-02 03:00:00,10001,Alphington,4.798,14.404,0.1,19.256,1.297,11.31,11.144,32.953,0.792,78.757,0.589,63.639,0.485
2021-01-02 03:00:00,2021-01-02 04:00:00,10001,Alphington,4.627,14.991,0.103,18.764,1.496,10.333,12.284,41.309,0.817,87.659,0.567,64.038,0.448
2021-01-02 04:00:00,2021-01-02 05:00:00,10001,Alphington,4.138,14.865,0.104,18.544,1.642,9.965,11.391,36.469,0.842,75.418,0.58,47.568,0.463
2021-01-02 05:00:00,2021-01-02 06:00:00,10001,Alphington,6.102,15.293,0.11,18.198,2.635,8.13,12.961,41.995,0.89,88.118,0.364,50.738,0.291
