datetime_AEST,datetime_local,location_id,location_name,DBT,O3,SBPM25,Sigma05,SWD,SWS,VWD,VWS
2020-12-31 23:00:00,2021-01-01 00:00:00,10169,Melton,17.498,10.206,6.168,19.394,242.604,1.284,239.62,1.05
2021-01-01 00:00:00,2021-01-01 01:00:00,10169,Melton,16.394,,8.778,9.546,278.147,1.296,277.68,1.25
2021-01-01 01:00:00,2021-01-01 02:00:00,10169,Melton,15.556,6.908,8.608,9.5,291.527,1.253,292.3,1.2
2021-01-01 02:00:00,2021-01-01 03:00:00,10169,Melton,15.132,4.951,10.454,9.511,313.307,1.389,314.22,1.34
2021-01-01 03:00:00,2021-01-01 04:00:00,10169,Melton,15.28,5.15,6.874,8.374,303.465,1.41,306.23,1.35
2021-01-01 04:00:00,2021-01-01 05:00:00,10169,Melton,15.004,4.815,9.582,9.307,308.568,1.275,310.96,1.22
2021-01-01 05:00:00,2021-01-01 06:00:00,10169,Melton,15.044,4.291,0.007,10.822,291.523,1.14,292.24,1.11
2021-01-01 06:00:00,2021-01-01 07:00:00,10169,Melton,16.733,7.522,0.517,14.016,276.334,1.557,273.82,1.48
2021-01-01 07:00:00,2021-01-01 08:00:00,10169,Melton,19.303,11.359,7.178,31.222,204.359,0.986,239.86,0.29
2021-01-01 08:00:00,2021-01-01 09:00:00,10169,Melton,21.767,16.176,5.599,40.929,105.438,1.183,90.46,0.94
2021-01-01 09:00:00,2021-01-01 10:00:00,10169,Melton,24.523,19.876,14.867,18.85,80.514,3.267,76.85,2.77
2021-01-01 10:00:00,2021-01-01 11:00:00,10169,Melton,26.817,24.296,6.522,19.119,54.378,4.38,43.47,4.07
2021-01-01 11:00:00,2021-01-01 12:00:00,10169,Melton,27.465,26.302,11.676,16.994,60.024,5.454,58.01,5.07
2021-01-01 12:00:00,2021-01-01 13:00:00,10169,Melton,28.781,30.701,5.953,18.837,52.965,4.967,33.09,4.62
2021-01-01 13:00:00,2021-01-01 14:00:00,10169,Melton,28.718,34.68,3.739,21.122,60.619,3.895,41.24,3.49
2021-01-01 14:00:00,2021-01-01 15:00:00,10169,Melton,28.4,35.447,3.906,18.653,66.215,3.796,32.86,3.5
2021-01-01 15:00:00,2021-01-01 16:00:00,10169,Melton,27.75,33.311,5.868,15.403,80.43,4.061,17.74,3.83
2021-01-01 16:00:00,2021-01-01 17:00:00,10169,Melton,27.849,35.309,-3.69,15.11,75.567,3.462,22.32,3.18
2021-01-01 17:00:00,2021-01-01 18:00:00,10169,Melton,28.105,35.429,6.962,15.654,52.664,3.274,48.75,3.02
2021-01-01 18:00:00,2021-01-01 19:00:00,10169,Melton,27.122,31.297,1.684,12.498,34.68,3.225,24.21,3.14
2021-01-01 19:00:00,2021-01-01 20:00:00,10169,Melton,26.131,27.835,2.635,13.441,41.023,2.077,36.88,1.97
2021-01-01 20:00:00,2021-01-01 21:00:00,10169,Melton,25.107,22.254,5.13,11.813,48.932,1.556,49.84,1.47
2021-01-01 21:00:00,2021-01-01 22:00:00,10169,Melton,23.04,12.855,1.937,8.171,47.287,0.663,42.36,0.64
2021-01-01 22:00:00,2021-01-01 23:00:00,10169,Melton,21.67,8.797,4.517,29.242,157.207,0.743,160.07,0.3
2021-01-01 23:00:00,2021-01-02 00:00:00,10169,Melton,20.259,9.256,6.991,19.095,202.11,0.843,155.74,0.25
2021-01-02 00:00:00,2021-01-02 01:00:00,10169,Melton,18.642,,5.112,13.736,277.789,0.914,280.02,0.87
2021-01-02 01:00:00,2021-01-02 02:00:00,10169,Melton,17.741,4.497,5.162,12.487,256.303,1.213,302.03,0.96
2021-01-02 02:00:00,2021-01-02 03:00:00,10169,Melton,17.111,4.624,6.932,29.598,245.573,0.687,291.35,0.49
2021-01-02 03:00:00,2021-01-02 04:00:00,10169,Melton,16.595,2.469,4.759,31.98,208.882,0.738,340.5,0.52
2021-01-02 04:00:00,2021-01-02 05:00:00,10169,Melton,16.17,0.888,5.325,19.086,148.263,0.743,154.52,0.36
2021-01-02 05:00:00,2021-01-02 06:00:00,10169,Melton,15.954,1.464,3.986,17.435,230.818,0.942,320.8,0.57
2021-01-02 06:00:00,2021-01-02 07:00:00,10169,Melton,18.727,5.643,2.839,12.604,257.927,1.365,343.71,1.28
2021-01-02 07:00:00,2021-01-02 08:00:00,10169,Melton,22.169,14.826,-0.795,14.975,242.666,1.958,340.97,1.73
