ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,LATITUDE,LONGITUDE
T20230007656,2023-04-01,00:21:00,-38.052636,145.376201
T20230007655,2023-04-01,02:05:00,-37.744896,145.318808
T20230008110,2023-04-01,11:00:00,-37.3422,144.14779
T20230007723,2023-04-01,22:00:00,-37.060206,142.699034
T20230007724,2023-04-01,22:00:00,-37.043392,146.089937
T20230007733,2023-04-01,21:30:00,-37.911271,145.241182
T20230007731,2023-04-01,23:26:00,-37.970463,145.218452
T20230007657,2023-04-01,05:55:00,-37.060189,143.729104
T20230007721,2023-04-01,15:10:00,-37.782909,145.283726
T20230007719,2023-04-01,20:16:00,-37.888814,145.057151
T20230009156,2023-04-01,15:30:00,-37.046903,144.220628
T20230007747,2023-04-01,22:10:00,-38.336157,143.586888
T20230010899,2023-04-01,12:28:00,-37.82578,144.825625
T20230007715,2023-04-01,20:10:00,-38.077392,145.296999
T20230007713,2023-04-01,15:15:00,-37.836757,144.969473
T20230007760,2023-04-01,15:40:00,-37.967829,145.195593
T20230007710,2023-04-01,16:05:00,-37.693478,145.029916
T20230007684,2023-04-01,10:50:00,-36.254777,147.079918
T20230007722,2023-04-01,15:33:00,-37.87408,144.601348
T20230007720,2023-04-01,20:10:00,-36.099023,145.223745
T20230007705,2023-04-01,16:01:00,-38.160223,144.376603
T20230007947,2023-04-01,10:01:00,-36.117174,146.553667
T20230008571,2023-04-01,13:30:00,-37.865387,145.025946
T20230007703,2023-04-01,15:30:00,-37.715083,145.022103
T20230007726,2023-04-01,22:30:00,-37.829895,144.971321
T20230007697,2023-04-01,17:20:00,-37.689697,145.027725
T20230007708,2023-04-01,16:56:00,-37.799231,145.28643
T20230008209,2023-04-01,00:05:00,-37.797362,144.984546
T20230009490,2023-04-01,12:14:00,-37.770014,144.900846
T20230009530,2023-04-01,17:58:00,-37.856378,144.667796
T20230007839,2023-04-01,06:50:00,-37.570172,144.118774
T20230007682,2023-04-01,11:30:00,-37.900233,144.753561
T20230007673,2023-04-01,07:00:00,-38.062187,145.366985
T20230007742,2023-04-01,10:00:00,-37.692562,144.750004
T20230007670,2023-04-01,10:54:00,-37.829989,144.997158
T20230007669,2023-04-01,06:00:00,-38.076615,145.418053
T20230008753,2023-04-01,21:00:00,-37.809532,144.949571
T20230007665,2023-04-01,09:00:00,-36.744114,146.954601
T20230009021,2023-04-01,17:05:00,-38.11106,145.195189
T20230008058,2023-04-01,23:00:00,-38.190728,146.016275
T20230007662,2023-04-01,09:14:00,-37.870364,144.691382
T20230009415,2023-04-01,14:55:00,-37.774514,145.025919
T20230007658,2023-04-01,06:45:00,-37.683002,145.068911
T20230007776,2023-04-02,16:00:00,-34.193671,142.162314
T20230007758,2023-04-02,13:45:00,-37.103822,143.776019
T20230007771,2023-04-02,14:25:00,-37.280714,146.119486
T20230008816,2023-04-02,12:20:00,-38.176832,144.351924
T20230007753,2023-04-02,09:50:00,-37.246807,145.171862
T20230007799,2023-04-02,23:30:00,-37.795964,144.697308
T20230007790,2023-04-02,21:20:00,-37.81036,144.972583
T20230007790,2023-04-02,21:20:00,-37.81036,144.972583
T20230008212,2023-04-02,18:30:00,-37.808466,144.948693
T20230007748,2023-04-02,07:35:00,-37.851019,145.122772
T20230007860,2023-04-02,16:30:00,-36.151214,146.609249
T20230007741,2023-04-02,08:45:00,-38.24758,146.325812
T20230007746,2023-04-02,09:10:00,-37.789879,144.958758
T20230007769,2023-04-02,14:06:00,-37.614524,144.88584
T20230007794,2023-04-02,21:19:00,-37.891515,145.08849
T20230007744,2023-04-02,02:10:00,-36.083153,145.446734
T20230011272,2023-04-02,15:00:00,-37.681226,144.744899
T20230009687,2023-04-02,13:30:00,-37.816045,145.379108
T20230008206,2023-04-02,07:15:00,-37.690223,144.93029
T20230007785,2023-04-02,17:41:00,-37.919708,144.630328
T20230008045,2023-04-02,15:19:00,-37.543786,145.672081
T20230008036,2023-04-02,15:00:00,-37.536319,144.911239
T20230012653,2023-04-02,13:40:00,-38.109821,144.352895
T20230007729,2023-04-02,02:45:00,-37.851615,145.129659
T20230007789,2023-04-02,19:10:00,-37.791533,144.852789
T20230007756,2023-04-02,01:10:00,-38.145726,144.338408
T20230008032,2023-04-02,15:24:00,-38.475382,145.959048
T20230007767,2023-04-02,14:30:00,-38.520623,145.833419
T20230007764,2023-04-02,10:00:00,-37.823718,145.7385
T20230008029,2023-04-02,17:30:00,-37.856526,145.183593
T20230007728,2023-04-02,00:35:00,-36.337015,146.340667
T20230008562,2023-04-02,08:30:00,-37.832991,144.913018
T20230007950,2023-04-02,09:30:00,-37.993642,145.253739
T20230008023,2023-04-02,12:00:00,-37.313667,145.927061
T20230007783,2023-04-02,18:47:00,-37.839365,145.032328
T20230008695,2023-04-02,13:00:00,-37.674656,145.030797
T20230007782,2023-04-02,17:45:00,-38.249005,145.234431
T20230007759,2023-04-02,13:37:00,-37.081059,144.258434
T20230007787,2023-04-02,15:56:00,-37.825692,144.836474
T20230007780,2023-04-02,16:45:00,-37.768197,145.027064
T20230007778,2023-04-02,00:30:00,-37.813716,144.891384
T20230007791,2023-04-02,17:45:00,-37.954906,145.030321
T20230007882,2023-04-03,18:57:00,-37.704494,145.121229
T20230012429,2023-04-03,09:15:00,-37.93499,145.171614
T20230007885,2023-04-03,14:07:00,-37.54168,143.844151
T20230007886,2023-04-03,18:15:00,-37.770627,144.792312
T20230007888,2023-04-03,15:50:00,-37.735405,144.977463
T20230007889,2023-04-03,16:30:00,-37.904068,144.658988
T20230007890,2023-04-03,17:50:00,-37.828245,147.621869
T20230007891,2023-04-03,18:38:00,-37.661477,144.923214
T20230007823,2023-04-03,09:40:00,-36.350268,146.309483
T20230007896,2023-04-03,22:25:00,-37.690527,145.064484
T20230007898,2023-04-03,22:31:00,-37.868941,145.235346
T20230007899,2023-04-03,21:52:00,-37.787739,144.925164
T20230009596,2023-04-03,12:00:00,-37.90117,145.019228
T20230015751,2023-04-03,15:00:00,-38.108558,145.162726
T20230008160,2023-04-03,17:33:00,-38.028348,145.322016
T20230008024,2023-04-03,16:25:00,-37.689952,144.603417
T20230009945,2023-04-03,12:00:00,-37.805278,144.96919
T20230025538,2023-04-03,15:00:00,-37.756739,145.118737
T20230009385,2023-04-03,14:15:00,-37.7662,144.693644
